date,total_price(萬),square(坪),square_price(萬/坪),主建物佔比,type,age,floor,格局,電梯
2018-10-11,1300.0,41.81,31.08,92.25%,公寓,,3F/5F,3房2廳2衛,N
2018-10-10,1338.0,0.0,9.82,,透天厝,61,A/2F,3房2廳2衛,N
2018-10-09,776.0,41.5,18.7,41.01%,公寓,23,5F/5F,1房1廳1衛,N
2018-10-09,1030.0,42.5,24.25,81.89%,公寓,,2F/4F,3房1廳1衛,N
2018-10-09,1100.0,44.69,24.62,75.92%,華廈,24,2F/10F,2房1廳1衛,N
2018-10-09,1200.0,34.69,34.61,66.35%,住宅大樓,22,17F/17F,3房2廳2衛,N
2018-10-08,2550.0,0.0,40.33,,透天厝,,A/2F,4房2廳2衛,N
2018-10-08,688.0,41.09,16.73,47.95%,華廈,10,2F/5F,,N
2018-10-08,1485.0,55.5,26.77,57.15%,住宅大樓,1,12F/18F,2房1廳1衛,N
2018-10-08,860.0,30.7,28.02,100.00%,公寓,50,2F/4F,3房2廳1衛,N
2018-10-07,1206.0,50.0,24.12,90.21%,公寓,,2F/5F,3房2廳1衛,N
2018-10-07,760.0,34.5,22.04,69.11%,住宅大樓,22,2F/17F,1房2廳1衛,N
2018-10-07,1080.0,48.5,22.28,62.57%,住宅大樓,9,3F/13F,2房1廳1衛,N
2018-10-06,950.0,29.59,32.13,84.22%,公寓,,4F/4F,3房2廳2衛,N
2018-10-06,1780.0,49.09,36.23,61.82%,住宅大樓,22,1F/15F,3房2廳2衛,N
2018-10-06,1670.0,39.0,42.8,71.86%,華廈,36,3F/7F,3房2廳2衛,N
2018-10-05,1200.0,42.31,28.37,100.00%,公寓,,3F/3F,4房1廳1衛,N
2018-10-05,1350.0,50.91,26.54,77.96%,華廈,25,7F/10F,2房2廳1衛,N
2018-10-05,1060.0,42.09,25.19,88.62%,公寓,,1F/5F,2房1廳1衛,N
2018-10-05,2500.0,51.09,48.9,50.59%,住宅大樓,12,6F/14F,3房1廳2衛,N
2018-10-05,960.0,32.91,29.15,91.97%,公寓,35,5F/5F,3房2廳2衛,N
2018-10-03,350.0,14.7,23.76,88.25%,公寓,36,1F/4F,3房2廳1衛,N
2018-10-03,1150.0,37.69,30.52,72.27%,公寓,,5F/5F,3房2廳1衛,N
2018-10-03,2188.0,54.09,40.43,54.42%,華廈,2,4F/7F,2房1廳1衛,N
2018-10-03,1398.0,26.59,52.49,49.77%,華廈,8,2F/10F,2房2廳2衛,N
2018-10-03,1268.0,84.62,14.99,,店面（店舖),7,見其他登記事項/7F,0房1廳1衛,N
2018-10-02,2200.0,52.91,41.56,51.90%,華廈,2,2F/7F,3房1廳1衛,N
2018-10-02,1372.0,35.19,38.96,78.13%,公寓,37,2F/5F,4房2廳2衛,N
2018-10-02,890.0,38.81,22.93,100.00%,公寓,,2F/4F,3房1廳1衛,N
2018-10-01,550.0,41.69,13.18,61.96%,華廈,12,7F/8F,2房1廳1衛,N
