date,total_price(萬),square(坪),square_price(萬/坪),主建物佔比,type,age,floor,格局,電梯
2016-09-09,420.0,54.59,7.69,79.07%,套房,20,1F/24F,1房0廳1衛,N
2016-09-08,820.0,35.0,23.45,62.11%,住宅大樓,1,3F/12F,2房1廳1衛,N
2016-09-08,1500.0,42.09,35.64,100.00%,公寓,48,1F/4F,4房2廳2衛,N
2016-09-08,633.0,0.0,27.21,,透天厝,36,A/2F,3房2廳2衛,N
2016-09-08,2758.0,0.0,51.56,,透天厝,8,A/3F,4房2廳3衛,N
2016-09-08,4800.0,0.0,70.36,,透天厝,7,A/3F,3房2廳2衛,N
2016-09-08,510.0,24.5,20.85,100.00%,公寓,38,2F/4F,3房1廳1衛,N
2016-09-08,900.0,12.2,73.71,72.56%,住宅大樓,27,3F/12F,4房2廳2衛,N
2016-09-07,1060.0,37.19,28.51,59.83%,住宅大樓,,9F/14F,2房2廳1衛,N
2016-09-07,2508.0,55.69,45.04,64.81%,住宅大樓,7,10F/11F,4房2廳2衛,N
2016-09-07,375.0,17.59,21.36,93.41%,公寓,34,3F/5F,3房2廳1衛,N
2016-09-06,770.0,0.0,36.24,,透天厝,36,A/2F,5房2廳3衛,N
2016-09-06,350.0,31.2,11.22,64.01%,住宅大樓,19,8F/12F,1房1廳1衛,N
2016-09-06,1550.0,35.81,43.31,60.80%,公寓,20,3F/3F,3房2廳2衛,N
2016-09-06,686.0,22.5,30.5,56.94%,華廈,3,3F/8F,2房1廳1衛,N
2016-09-06,620.0,20.91,29.69,70.28%,華廈,13,5F/10F,3房2廳2衛,N
2016-09-05,1106.0,41.41,26.7,82.71%,公寓,41,4F/4F,3房2廳2衛,N
2016-09-05,1900.0,41.19,46.13,59.86%,住宅大樓,1,2F/14F,3房2廳2衛,N
2016-09-05,1680.0,32.41,51.85,64.47%,華廈,23,5F/7F,2房2廳2衛,N
2016-09-04,1480.0,54.19,27.33,66.14%,住宅大樓,7,5F/27F,2房2廳1衛,N
2016-09-03,868.0,25.8,33.68,63.30%,住宅大樓,9,5F/12F,4房2廳2衛,N
2016-09-03,1100.0,33.91,32.46,88.07%,公寓,44,4F/4F,3房2廳2衛,N
2016-09-03,660.0,22.91,28.86,55.25%,華廈,3,3F/8F,2房2廳1衛,N
2016-09-03,564.0,22.5,25.06,56.87%,華廈,3,6F/8F,2房1廳1衛,N
2016-09-03,800.0,30.8,26.01,69.16%,住宅大樓,22,4F/12F,2房2廳1衛,N
2016-09-03,800.0,30.59,26.11,77.02%,華廈,21,2F/6F,3房2廳2衛,N
2016-09-02,995.0,36.09,27.55,61.31%,住宅大樓,,4F/13F,2房2廳1衛,N
